event_id,campaign_id,client_id,event_date,event_type,account_id,revenue_influenced
evt_0033,camp_027,client_004,2025-07-16,meeting_booked,acc_096,40340.98
evt_0034,camp_036,client_002,2025-08-20,impression,acc_018,
evt_0035,camp_039,client_002,2025-05-25,click,acc_068,
evt_0036,camp_018,client_003,2025-12-23,form_fill,acc_056,
evt_0037,camp_001,client_002,2025-08-07,click,acc_046,
evt_0038,camp_038,client_003,2025-09-10,click,acc_089,
evt_0039,camp_029,client_003,2025-11-21,impression,acc_074,
evt_0040,camp_036,client_002,2025-09-10,impression,acc_100,
evt_0041,camp_021,client_003,2026-01-20,impression,acc_029,
evt_0042,camp_025,client_003,2025-09-29,impression,acc_033,
evt_0043,camp_021,client_003,2026-01-06,click,acc_099,
evt_0044,camp_025,client_003,2025-09-26,click,acc_055,
evt_0045,camp_042,client_004,2026-01-13,meeting_booked,acc_017,23305.71
evt_0046,camp_038,client_003,2025-08-15,form_fill,acc_050,
evt_0047,camp_034,client_003,2026-02-08,click,acc_059,
evt_0048,camp_027,client_004,2025-06-03,impression,acc_080,
evt_0049,camp_017,client_001,2025-10-27,click,acc_037,
evt_0050,camp_042,client_004,2026-02-06,impression,acc_008,
evt_0051,camp_044,client_004,2025-07-26,form_fill,acc_071,44484.5
evt_0052,camp_032,client_001,2025-08-27,impression,acc_067,
evt_0053,camp_016,client_002,2025-10-23,form_fill,acc_085,37591.55
evt_0054,camp_028,client_002,2025-10-05,impression,acc_013,
evt_0055,camp_007,client_001,2025-11-12,click,acc_061,
evt_0056,camp_002,client_004,2026-03-14,click,acc_005,
evt_0057,camp_019,client_002,2025-09-15,impression,acc_051,
evt_0058,camp_016,client_002,2025-10-06,impression,acc_068,
evt_0059,camp_012,client_004,2025-07-04,impression,acc_019,
evt_0060,camp_025,client_003,2025-09-26,impression,acc_077,
evt_0061,camp_038,client_003,2025-08-23,impression,acc_016,
evt_0062,camp_017,client_001,2025-10-16,click,acc_061,
evt_0063,camp_030,client_002,2025-09-23,impression,acc_046,
evt_0064,camp_023,client_003,2025-08-26,impression,acc_075,
evt_0065,camp_028,client_002,2025-09-04,impression,acc_095,
evt_0066,camp_020,client_003,2025-08-20,click,acc_029,
evt_0067,camp_007,client_001,2025-12-08,impression,acc_030,
evt_0068,camp_037,client_002,2025-09-27,impression,acc_046,
evt_0069,camp_043,client_001,2026-01-09,impression,acc_045,
evt_0070,camp_044,client_004,2025-06-13,form_fill,acc_092,41809.11
evt_0071,camp_019,client_002,2025-09-29,impression,acc_100,
evt_0072,camp_023,client_003,2025-08-12,impression,acc_033,
evt_0073,camp_044,client_004,2025-09-01,click,acc_092,
evt_0074,camp_009,client_001,2025-12-13,form_fill,acc_082,16137.71
evt_0075,camp_029,client_003,2025-12-03,impression,acc_011,
evt_0076,camp_009,client_001,2025-12-25,impression,acc_010,
evt_0077,camp_027,client_004,2025-06-09,impression,acc_019,
evt_0078,camp_035,client_004,2025-11-08,impression,acc_039,
evt_0079,camp_018,client_003,2025-12-12,form_fill,acc_024,48401.82
evt_0080,camp_019,client_002,2025-09-30,impression,acc_098,
evt_0081,camp_008,client_004,2026-02-02,impression,acc_047,
evt_0082,camp_015,client_002,2025-08-24,meeting_booked,acc_090,121665.21
evt_0083,camp_024,client_003,2026-03-21,impression,acc_012,
evt_0084,camp_035,client_004,2025-11-04,impression,acc_014,
evt_0085,camp_048,client_003,2025-12-23,impression,acc_089,
evt_0086,camp_041,client_002,2025-06-25,click,acc_051,
evt_0087,camp_031,client_002,2026-03-18,impression,acc_001,
evt_0088,camp_040,client_001,2026-03-20,impression,acc_030,
evt_0089,camp_030,client_002,2025-10-10,impression,acc_095,
evt_0090,camp_008,client_004,2026-02-01,form_fill,acc_017,
evt_0091,camp_032,client_001,2025-09-05,impression,acc_023,
evt_0092,camp_035,client_004,2025-10-29,impression,acc_017,
evt_0093,camp_043,client_001,2026-01-23,form_fill,acc_093,
evt_0094,camp_048,client_003,2025-12-16,form_fill,acc_099,41850.96
evt_0095,camp_040,client_001,2026-02-27,impression,acc_052,
evt_0096,camp_024,client_003,2026-03-27,impression,acc_029,
evt_0097,camp_016,client_002,2025-09-17,meeting_booked,acc_051,58263.57
evt_0098,camp_042,client_004,2025-12-16,impression,acc_039,
evt_0099,camp_013,client_001,2025-09-08,impression,acc_023,
evt_0100,camp_014,client_001,2025-10-13,meeting_booked,acc_082,12333.88
evt_0101,camp_022,client_003,2025-12-19,click,acc_033,
evt_0102,camp_014,client_001,2025-10-10,impression,acc_010,
evt_0103,camp_014,client_001,2025-09-27,click,acc_030,
evt_0104,camp_039,client_002,2025-06-12,click,acc_001,
evt_0105,camp_010,client_002,2025-10-16,impression,acc_018,
evt_0106,camp_012,client_004,2025-06-14,impression,acc_014,
evt_0107,camp_023,client_003,2025-08-29,impression,acc_033,
evt_0108,camp_017,client_001,2025-10-12,click,acc_006,
evt_0109,camp_034,client_003,2026-03-24,impression,acc_015,
evt_0110,camp_029,client_003,2025-11-25,impression,acc_054,
evt_0111,camp_029,client_003,2025-10-18,form_fill,acc_065,
evt_0112,camp_043,client_001,2026-01-10,impression,acc_066,
evt_0113,camp_002,client_004,2026-04-04,click,acc_005,
evt_0114,camp_028,client_002,2025-08-24,impression,acc_090,
evt_0115,camp_029,client_003,2025-09-30,impression,acc_012,
evt_0116,camp_010,client_002,2025-09-21,impression,acc_009,
evt_0117,camp_041,client_002,2025-07-03,impression,acc_072,
evt_0118,camp_039,client_002,2025-06-14,impression,acc_068,
evt_0119,camp_039,client_002,2025-05-20,click,acc_057,
evt_0120,camp_008,client_004,2026-02-17,click,acc_080,
evt_0121,camp_014,client_001,2025-10-03,form_fill,acc_052,
evt_0122,camp_030,client_002,2025-10-25,click,acc_053,
evt_0123,camp_021,client_003,2025-12-27,click,acc_056,
evt_0124,camp_024,client_003,2026-04-01,impression,acc_016,
evt_0125,camp_006,client_002,2025-09-19,impression,acc_009,
evt_0126,camp_048,client_003,2026-01-27,impression,acc_054,
evt_0127,camp_004,client_001,2026-01-22,impression,acc_073,
evt_0128,camp_043,client_001,2026-01-14,impression,acc_023,
evt_0129,camp_043,client_001,2026-01-28,form_fill,acc_052,
evt_0130,camp_019,client_002,2025-09-13,impression,acc_084,
evt_0131,camp_037,client_002,2025-09-17,impression,acc_068,
evt_0132,camp_031,client_002,2026-01-21,impression,acc_031,
evt_0133,camp_036,client_002,2025-07-16,click,acc_051,
evt_0134,camp_037,client_002,2025-10-13,click,acc_031,
evt_0135,camp_050,client_003,2025-08-29,click,acc_077,
evt_0136,camp_036,client_002,2025-09-18,form_fill,acc_001,14104.94
evt_0137,camp_012,client_004,2025-07-21,form_fill,acc_032,
evt_0138,camp_012,client_004,2025-08-23,click,acc_017,
evt_0139,camp_005,client_003,2025-11-21,impression,acc_016,
evt_0140,camp_034,client_003,2026-03-01,impression,acc_029,
evt_0141,camp_022,client_003,2026-01-19,impression,acc_024,
evt_0142,camp_021,client_003,2026-01-14,impression,acc_075,
evt_0143,camp_004,client_001,2025-12-02,click,acc_025,
evt_0144,camp_004,client_001,2025-11-23,impression,acc_086,
evt_0145,camp_043,client_001,2026-01-16,impression,acc_052,
evt_0146,camp_027,client_004,2025-06-11,click,acc_032,
evt_0147,camp_008,client_004,2026-02-13,impression,acc_039,
evt_0148,camp_044,client_004,2025-08-22,impression,acc_081,
evt_0149,camp_043,client_001,2026-01-02,impression,acc_036,
evt_0150,camp_039,client_002,2025-05-08,impression,acc_004,
evt_0151,camp_014,client_001,2025-09-22,impression,acc_025,
evt_0152,camp_008,client_004,2026-02-15,click,acc_002,
evt_0153,camp_012,client_004,2025-07-30,impression,acc_017,
evt_0154,camp_015,client_002,2025-09-15,click,acc_068,
evt_0155,camp_023,client_003,2025-09-08,click,acc_012,
evt_0156,camp_003,client_002,2025-11-20,impression,acc_057,
evt_0157,camp_005,client_003,2026-01-10,impression,acc_050,
evt_0158,camp_046,client_001,2025-08-23,impression,acc_082,
evt_0159,camp_026,client_004,2026-02-05,impression,acc_002,
evt_0160,camp_040,client_001,2026-03-23,form_fill,acc_061,
evt_0161,camp_007,client_001,2025-12-15,impression,acc_030,
evt_0162,camp_034,client_003,2026-03-02,form_fill,acc_012,11857.03
evt_0163,camp_050,client_003,2025-07-25,impression,acc_024,
evt_0164,camp_008,client_004,2026-02-16,impression,acc_070,
evt_0165,camp_050,client_003,2025-08-12,click,acc_054,
evt_0166,camp_042,client_004,2025-12-22,impression,acc_096,
evt_0167,camp_010,client_002,2025-09-25,impression,acc_043,
evt_0168,camp_010,client_002,2025-10-30,click,acc_100,
evt_0169,camp_012,client_004,2025-08-14,impression,acc_092,
evt_0170,camp_037,client_002,2025-11-03,impression,acc_100,
evt_0171,camp_037,client_002,2025-09-30,click,acc_085,
evt_0172,camp_041,client_002,2025-06-26,impression,acc_049,
evt_0173,camp_031,client_002,2026-02-16,click,acc_058,
evt_0174,camp_038,client_003,2025-09-01,impression,acc_011,
evt_0175,camp_020,client_003,2025-08-28,impression,acc_059,
evt_0176,camp_024,client_003,2026-02-11,impression,acc_048,
evt_0177,camp_006,client_002,2025-09-30,impression,acc_084,
evt_0178,camp_030,client_002,2025-09-08,impression,acc_072,
evt_0179,camp_037,client_002,2025-09-14,impression,acc_085,
evt_0180,camp_031,client_002,2026-01-27,form_fill,acc_068,
evt_0181,camp_022,client_003,2025-12-13,impression,acc_097,
evt_0182,camp_012,client_004,2025-07-13,click,acc_005,
evt_0183,camp_029,client_003,2025-11-26,impression,acc_065,
evt_0184,camp_024,client_003,2026-03-07,impression,acc_054,
evt_0185,camp_050,client_003,2025-09-03,impression,acc_050,
evt_0186,camp_041,client_002,2025-07-03,impression,acc_085,
evt_0187,camp_007,client_001,2025-12-09,impression,acc_067,
evt_0188,camp_047,client_002,2025-12-01,impression,acc_090,
evt_0189,camp_038,client_003,2025-08-18,form_fill,acc_089,
evt_0190,camp_042,client_004,2026-01-24,impression,acc_083,
evt_0191,camp_039,client_002,2025-05-18,impression,acc_095,
evt_0192,camp_025,client_003,2025-09-30,impression,acc_087,
evt_0193,camp_009,client_001,2025-12-12,impression,acc_086,
evt_0194,camp_028,client_002,2025-09-11,impression,acc_068,
evt_0195,camp_020,client_003,2025-07-29,impression,acc_024,
evt_0196,camp_050,client_003,2025-08-02,impression,acc_060,
evt_0197,camp_009,client_001,2025-12-11,impression,acc_025,
evt_0198,camp_007,client_001,2025-10-25,click,acc_066,
evt_0199,camp_050,client_003,2025-07-29,impression,acc_077,
evt_0200,camp_010,client_002,2025-09-24,click,acc_021,
evt_0201,camp_050,client_003,2025-07-31,click,acc_077,
evt_0202,camp_003,client_002,2026-01-02,click,acc_057,
evt_0203,camp_016,client_002,2025-10-19,impression,acc_058,
evt_0204,camp_048,client_003,2025-12-21,impression,acc_059,
evt_0205,camp_020,client_003,2025-07-26,impression,acc_060,
evt_0206,camp_037,client_002,2025-10-18,click,acc_058,
evt_0207,camp_050,client_003,2025-08-22,impression,acc_055,
evt_0208,camp_011,client_004,2025-11-03,click,acc_096,
evt_0209,camp_009,client_001,2025-12-10,impression,acc_035,
evt_0210,camp_024,client_003,2026-02-15,click,acc_074,
evt_0211,camp_034,client_003,2026-02-26,impression,acc_015,
evt_0212,camp_011,client_004,2025-11-19,form_fill,acc_032,
evt_0213,camp_028,client_002,2025-10-15,impression,acc_009,
evt_0214,camp_029,client_003,2025-09-24,impression,acc_054,
evt_0215,camp_026,client_004,2026-02-11,impression,acc_070,
evt_0216,camp_006,client_002,2025-09-06,impression,acc_051,
evt_0217,camp_007,client_001,2025-12-02,click,acc_091,
evt_0218,camp_009,client_001,2025-12-25,form_fill,acc_006,
evt_0219,camp_009,client_001,2026-01-06,impression,acc_091,
evt_0220,camp_001,client_002,2025-07-20,impression,acc_009,
evt_0221,camp_010,client_002,2025-11-12,click,acc_069,
evt_0222,camp_034,client_003,2026-02-15,click,acc_056,
evt_0223,camp_016,client_002,2025-09-18,impression,acc_046,
evt_0224,camp_027,client_004,2025-07-13,impression,acc_080,
evt_0225,camp_032,client_001,2025-08-25,impression,acc_079,
evt_0226,camp_037,client_002,2025-09-08,impression,acc_031,
evt_0227,camp_001,client_002,2025-08-10,impression,acc_084,
evt_0228,camp_027,client_004,2025-05-25,impression,acc_019,
evt_0229,camp_024,client_003,2026-04-08,impression,acc_012,
evt_0230,camp_033,client_003,2025-11-09,impression,acc_074,
evt_0231,camp_031,client_002,2026-02-27,meeting_booked,acc_004,41779.29
evt_0232,camp_002,client_004,2026-02-12,impression,acc_039,
evt_0233,camp_047,client_002,2025-11-26,click,acc_090,
evt_0234,camp_048,client_003,2025-12-15,impression,acc_050,
evt_0235,camp_035,client_004,2025-11-16,impression,acc_038,
evt_0236,camp_050,client_003,2025-08-19,meeting_booked,acc_089,74387.02
evt_0237,camp_012,client_004,2025-06-28,impression,acc_094,
evt_0238,camp_050,client_003,2025-07-23,impression,acc_059,
evt_0239,camp_003,client_002,2025-11-23,impression,acc_027,
evt_0240,camp_020,client_003,2025-08-21,meeting_booked,acc_065,83739.45
evt_0241,camp_017,client_001,2025-11-02,impression,acc_006,
evt_0242,camp_019,client_002,2025-09-30,click,acc_051,
evt_0243,camp_042,client_004,2025-12-30,impression,acc_038,
evt_0244,camp_024,client_003,2026-03-22,click,acc_056,
evt_0245,camp_025,client_003,2025-09-10,impression,acc_050,
evt_0246,camp_032,client_001,2025-09-27,click,acc_041,
evt_0247,camp_047,client_002,2025-11-23,impression,acc_057,
evt_0248,camp_012,client_004,2025-07-19,impression,acc_071,
evt_0249,camp_006,client_002,2025-10-03,impression,acc_049,
evt_0250,camp_029,client_003,2025-11-14,impression,acc_077,
evt_0251,camp_029,client_003,2025-11-17,impression,acc_054,
evt_0252,camp_023,client_003,2025-09-13,impression,acc_077,
evt_0253,camp_004,client_001,2026-01-02,impression,acc_010,
evt_0254,camp_048,client_003,2025-12-17,form_fill,acc_089,
evt_0255,camp_039,client_002,2025-07-04,impression,acc_090,
evt_0256,camp_005,client_003,2026-01-02,impression,acc_033,
evt_0257,camp_037,client_002,2025-09-09,click,acc_004,
evt_0258,camp_024,client_003,2026-03-27,click,acc_054,
evt_0259,camp_037,client_002,2025-10-26,impression,acc_018,
evt_0260,camp_021,client_003,2025-12-24,impression,acc_087,
evt_0261,camp_008,client_004,2026-02-05,impression,acc_002,
evt_0262,camp_025,client_003,2025-09-08,impression,acc_074,
evt_0263,camp_017,client_001,2025-10-22,impression,acc_091,
evt_0264,camp_040,client_001,2026-03-23,form_fill,acc_036,
evt_0265,camp_008,client_004,2026-02-02,impression,acc_017,
evt_0266,camp_046,client_001,2025-07-12,click,acc_061,
evt_0267,camp_021,client_003,2025-12-29,click,acc_089,
evt_0268,camp_036,client_002,2025-08-08,form_fill,acc_069,35878.65
evt_0269,camp_045,client_001,2025-08-08,click,acc_082,
evt_0270,camp_033,client_003,2025-11-22,meeting_booked,acc_033,119849.52
evt_0271,camp_016,client_002,2025-09-12,impression,acc_062,
evt_0272,camp_037,client_002,2025-10-18,click,acc_051,
evt_0273,camp_036,client_002,2025-09-19,form_fill,acc_018,
evt_0274,camp_026,client_004,2026-02-25,impression,acc_083,
evt_0275,camp_050,client_003,2025-08-26,impression,acc_056,
evt_0276,camp_021,client_003,2025-12-11,impression,acc_087,
evt_0277,camp_044,client_004,2025-07-22,impression,acc_070,
evt_0278,camp_050,client_003,2025-08-30,impression,acc_074,
evt_0279,camp_050,client_003,2025-08-17,impression,acc_016,
evt_0280,camp_004,client_001,2026-01-17,impression,acc_023,
evt_0281,camp_011,client_004,2025-11-11,form_fill,acc_019,
evt_0282,camp_034,client_003,2026-04-01,impression,acc_048,
evt_0283,camp_013,client_001,2025-09-11,impression,acc_082,
evt_0284,camp_041,client_002,2025-06-24,impression,acc_046,
evt_0285,camp_011,client_004,2025-12-20,impression,acc_076,
evt_0286,camp_011,client_004,2025-11-30,click,acc_081,
evt_0287,camp_039,client_002,2025-07-20,impression,acc_049,
evt_0288,camp_002,client_004,2026-02-09,form_fill,acc_008,13968.14
evt_0289,camp_014,client_001,2025-10-01,impression,acc_073,
evt_0290,camp_002,client_004,2026-04-12,impression,acc_063,
evt_0291,camp_020,client_003,2025-08-02,click,acc_060,
evt_0292,camp_044,client_004,2025-07-16,impression,acc_040,
evt_0293,camp_045,client_001,2025-08-06,impression,acc_006,
evt_0294,camp_031,client_002,2026-02-04,impression,acc_058,
evt_0295,camp_010,client_002,2025-11-07,click,acc_049,
evt_0296,camp_047,client_002,2026-01-02,impression,acc_051,
evt_0297,camp_024,client_003,2026-04-12,impression,acc_065,
evt_0298,camp_016,client_002,2025-09-18,impression,acc_058,
evt_0299,camp_016,client_002,2025-09-17,impression,acc_018,
evt_0300,camp_025,client_003,2025-09-18,impression,acc_077,
evt_0301,camp_011,client_004,2025-11-11,form_fill,acc_096,10301.87
evt_0302,camp_011,client_004,2025-11-23,impression,acc_063,
evt_0303,camp_020,client_003,2025-07-04,impression,acc_060,
evt_0304,camp_026,client_004,2026-02-22,meeting_booked,acc_070,36195.94
evt_0305,camp_023,client_003,2025-07-25,impression,acc_011,
evt_0306,camp_039,client_002,2025-07-08,impression,acc_085,
evt_0307,camp_001,client_002,2025-08-15,impression,acc_013,
evt_0308,camp_017,client_001,2025-10-19,click,acc_093,
evt_0309,camp_024,client_003,2026-03-22,impression,acc_011,
evt_0310,camp_036,client_002,2025-08-17,impression,acc_027,
evt_0311,camp_005,client_003,2026-01-20,impression,acc_055,
evt_0312,camp_036,client_002,2025-09-20,click,acc_043,
evt_0313,camp_008,client_004,2026-02-03,impression,acc_017,
evt_0314,camp_022,client_003,2026-01-18,click,acc_074,
evt_0315,camp_013,client_001,2025-09-10,impression,acc_079,
evt_0316,camp_003,client_002,2025-11-22,impression,acc_004,
evt_0317,camp_022,client_003,2026-02-08,impression,acc_060,
evt_0318,camp_039,client_002,2025-05-25,impression,acc_068,
evt_0319,camp_040,client_001,2026-02-20,impression,acc_037,
evt_0320,camp_040,client_001,2026-02-28,impression,acc_093,
evt_0321,camp_033,client_003,2026-01-13,impression,acc_065,
evt_0322,camp_037,client_002,2025-10-19,click,acc_046,
evt_0323,camp_024,client_003,2026-02-16,meeting_booked,acc_050,89636.81
evt_0324,camp_047,client_002,2025-11-16,impression,acc_095,
evt_0325,camp_017,client_001,2025-11-03,meeting_booked,acc_082,88878.78
evt_0326,camp_015,client_002,2025-07-11,impression,acc_098,
evt_0327,camp_011,client_004,2025-11-30,click,acc_070,
evt_0328,camp_050,client_003,2025-07-30,click,acc_055,
evt_0329,camp_016,client_002,2025-10-16,form_fill,acc_004,
evt_0330,camp_002,client_004,2026-03-13,impression,acc_047,
evt_0331,camp_027,client_004,2025-06-10,impression,acc_083,
evt_0332,camp_050,client_003,2025-08-20,form_fill,acc_077,4051.78
evt_0333,camp_009,client_001,2025-12-20,impression,acc_066,
evt_0334,camp_043,client_001,2026-01-17,impression,acc_064,
evt_0335,camp_012,client_004,2025-08-19,impression,acc_047,
evt_0336,camp_023,client_003,2025-08-21,impression,acc_089,
evt_0337,camp_013,client_001,2025-09-02,impression,acc_030,
evt_0338,camp_015,client_002,2025-08-10,click,acc_046,
evt_0339,camp_045,client_001,2025-09-18,impression,acc_091,
evt_0340,camp_023,client_003,2025-08-23,impression,acc_074,
evt_0341,camp_037,client_002,2025-10-28,impression,acc_090,
evt_0342,camp_026,client_004,2026-02-08,form_fill,acc_096,15232.18
evt_0343,camp_019,client_002,2025-09-06,impression,acc_095,
evt_0344,camp_029,client_003,2025-10-22,click,acc_087,
evt_0345,camp_014,client_001,2025-10-09,impression,acc_028,
evt_0346,camp_036,client_002,2025-08-05,impression,acc_095,
evt_0347,camp_040,client_001,2026-03-16,impression,acc_093,
evt_0348,camp_004,client_001,2026-01-18,impression,acc_086,
evt_0349,camp_015,client_002,2025-07-17,impression,acc_004,
evt_0350,camp_046,client_001,2025-07-13,click,acc_064,
evt_0351,camp_009,client_001,2025-12-17,impression,acc_003,
evt_0352,camp_031,client_002,2026-02-03,click,acc_062,
evt_0353,camp_019,client_002,2025-09-13,impression,acc_049,
evt_0354,camp_050,client_003,2025-09-01,impression,acc_012,
evt_0355,camp_035,client_004,2025-11-21,click,acc_088,
evt_0356,camp_003,client_002,2026-01-09,form_fill,acc_021,
evt_0357,camp_003,client_002,2026-01-19,impression,acc_053,
evt_0358,camp_048,client_003,2025-12-09,impression,acc_048,
evt_0359,camp_037,client_002,2025-09-03,form_fill,acc_084,
evt_0360,camp_030,client_002,2025-11-05,form_fill,acc_085,
evt_0361,camp_033,client_003,2025-12-10,impression,acc_059,
evt_0362,camp_008,client_004,2026-02-05,click,acc_038,
evt_0363,camp_042,client_004,2026-01-27,impression,acc_032,
evt_0364,camp_048,client_003,2026-01-26,impression,acc_050,
evt_0365,camp_044,client_004,2025-07-02,impression,acc_092,
evt_0366,camp_041,client_002,2025-07-06,impression,acc_053,
evt_0367,camp_006,client_002,2025-10-03,impression,acc_053,
evt_0368,camp_009,client_001,2025-12-27,form_fill,acc_064,
evt_0369,camp_025,client_003,2025-09-19,click,acc_033,
evt_0370,camp_022,client_003,2026-02-16,click,acc_048,
evt_0371,camp_001,client_002,2025-08-29,impression,acc_043,
evt_0372,camp_016,client_002,2025-10-22,impression,acc_004,
evt_0373,camp_020,client_003,2025-08-22,click,acc_024,
evt_0374,camp_046,client_001,2025-07-16,impression,acc_036,
evt_0375,camp_019,client_002,2025-09-23,impression,acc_051,
evt_0376,camp_009,client_001,2025-12-16,impression,acc_064,
evt_0377,camp_039,client_002,2025-07-01,click,acc_051,
evt_0378,camp_031,client_002,2026-03-15,click,acc_100,
evt_0379,camp_014,client_001,2025-10-13,form_fill,acc_030,
evt_0380,camp_029,client_003,2025-11-06,impression,acc_065,
evt_0381,camp_037,client_002,2025-08-27,click,acc_013,
evt_0382,camp_033,client_003,2026-01-18,impression,acc_029,
evt_0383,camp_011,client_004,2025-12-14,impression,acc_038,
evt_0384,camp_008,client_004,2026-02-06,click,acc_081,
evt_0385,camp_032,client_001,2025-10-27,impression,acc_010,
evt_0386,camp_004,client_001,2025-11-29,impression,acc_061,
evt_0387,camp_030,client_002,2025-09-10,impression,acc_072,
evt_0388,camp_044,client_004,2025-07-17,click,acc_094,
evt_0389,camp_026,client_004,2025-12-25,click,acc_032,
evt_0390,camp_038,client_003,2025-08-11,impression,acc_012,
evt_0391,camp_045,client_001,2025-09-25,meeting_booked,acc_010,140514.51
evt_0392,camp_005,client_003,2025-11-22,impression,acc_060,
evt_0393,camp_012,client_004,2025-06-28,click,acc_092,
evt_0394,camp_047,client_002,2026-01-04,impression,acc_085,
evt_0395,camp_025,client_003,2025-09-17,impression,acc_059,
evt_0396,camp_044,client_004,2025-08-16,impression,acc_081,
evt_0397,camp_023,client_003,2025-08-10,meeting_booked,acc_015,61993.5
evt_0398,camp_009,client_001,2025-12-21,click,acc_093,
evt_0399,camp_049,client_001,2025-07-10,impression,acc_003,
evt_0400,camp_047,client_002,2026-01-05,impression,acc_069,
evt_0401,camp_015,client_002,2025-09-02,impression,acc_031,
evt_0402,camp_018,client_003,2025-11-25,impression,acc_029,
evt_0403,camp_043,client_001,2026-01-20,click,acc_052,
evt_0404,camp_002,client_004,2026-02-28,impression,acc_022,
evt_0405,camp_039,client_002,2025-07-05,impression,acc_004,
evt_0406,camp_046,client_001,2025-08-01,click,acc_006,
evt_0407,camp_026,client_004,2026-01-23,impression,acc_047,
evt_0408,camp_049,client_001,2025-06-28,impression,acc_006,
evt_0409,camp_019,client_002,2025-09-30,form_fill,acc_031,
evt_0410,camp_037,client_002,2025-09-30,impression,acc_084,
evt_0411,camp_010,client_002,2025-10-15,impression,acc_090,
evt_0412,camp_020,client_003,2025-07-09,impression,acc_044,
evt_0413,camp_038,client_003,2025-08-20,impression,acc_099,
evt_0414,camp_028,client_002,2025-09-19,impression,acc_069,
evt_0415,camp_023,client_003,2025-09-06,click,acc_087,
evt_0416,camp_021,client_003,2026-01-02,impression,acc_097,
evt_0417,camp_020,client_003,2025-07-25,click,acc_055,
evt_0418,camp_031,client_002,2026-02-06,impression,acc_031,
evt_0419,camp_046,client_001,2025-08-29,form_fill,acc_025,
evt_0420,camp_027,client_004,2025-07-22,impression,acc_071,
evt_0421,camp_016,client_002,2025-09-24,impression,acc_043,
evt_0422,camp_006,client_002,2025-09-15,impression,acc_058,
evt_0423,camp_047,client_002,2025-11-19,impression,acc_027,
evt_0424,camp_044,client_004,2025-08-24,impression,acc_078,
evt_0425,camp_005,client_003,2025-12-14,impression,acc_029,
evt_0426,camp_022,client_003,2025-12-04,impression,acc_048,
evt_0427,camp_013,client_001,2025-08-27,click,acc_093,
evt_0428,camp_049,client_001,2025-07-06,click,acc_064,
evt_0429,camp_046,client_001,2025-08-20,form_fill,acc_028,
evt_0430,camp_050,client_003,2025-08-14,impression,acc_048,
evt_0431,camp_042,client_004,2026-01-01,impression,acc_039,
evt_0432,camp_033,client_003,2026-01-04,impression,acc_060,
evt_0433,camp_047,client_002,2025-12-22,form_fill,acc_062,
evt_0434,camp_027,client_004,2025-07-27,click,acc_005,
evt_0435,camp_048,client_003,2025-12-08,impression,acc_016,
evt_0436,camp_038,client_003,2025-09-25,impression,acc_075,
evt_0437,camp_010,client_002,2025-10-03,impression,acc_027,
evt_0438,camp_037,client_002,2025-10-22,impression,acc_031,
evt_0439,camp_044,client_004,2025-07-10,click,acc_038,
evt_0440,camp_032,client_001,2025-10-24,impression,acc_093,
evt_0441,camp_047,client_002,2025-12-03,impression,acc_051,
evt_0442,camp_035,client_004,2025-10-16,form_fill,acc_063,
evt_0443,camp_042,client_004,2026-01-15,impression,acc_005,
